registry,table_no,row_no,num,title,folder,original_url,download_url,attempted_url,status,file_type,saved_to,text_saved_to,linked_found,linked_saved,linked_errors,content_type,encoding,error
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,14,5,102,"ГОСТ 24846-2019 Грунты. Методы измерения деформаций оснований зданий и сооружений
Межгосударственный стандарт",05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\02_ГОСТ\Геодезия,https://protect.gost.ru/search?search=%D0%93%D0%9E%D0%A1%D0%A2%2024846-2019,http://protect.gost.ru/search?search=%D0%93%D0%9E%D0%A1%D0%A2%2024846-2019,,ERROR_BAD_REGISTRY_LINK,,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\02_ГОСТ\Геодезия,,,,,,,"Ссылка protect.gost.ru/search является страницей поиска, а не конкретным документом. Она часто возвращает 404 и не скачивается как файл. Запрос поиска: ГОСТ 24846-2019. В реестре нужна ссылка на карточку документа (/gost/details/...) или прямой файл."
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,16,3,107,"ГОСТ 31937-2011 Здания и сооружения. Правила обследования и мониторинга технического состояния
Межгосударственный стандарт",05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Обследование,https://protect.gost.ru/search?search=%D0%93%D0%9E%D0%A1%D0%A2%2031937-2011,http://protect.gost.ru/search?search=%D0%93%D0%9E%D0%A1%D0%A2%2031937-2011,,ERROR_BAD_REGISTRY_LINK,,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Обследование,,,,,,,"Ссылка protect.gost.ru/search является страницей поиска, а не конкретным документом. Она часто возвращает 404 и не скачивается как файл. Запрос поиска: ГОСТ 31937-2011. В реестре нужна ссылка на карточку документа (/gost/details/...) или прямой файл."
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,18,2,125,"СНиП 12-01-2004 Организация строительства
Постановление Госстроя России от 19.04.2004 № 70",05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\04_СНИП_ИСТОРИЧЕСКИЕ\Организация_строительства,https://protect.gost.ru/search?search=%D0%A1%D0%9D%D0%B8%D0%9F%2012-01-2004,http://protect.gost.ru/search?search=%D0%A1%D0%9D%D0%B8%D0%9F%2012-01-2004,,ERROR_BAD_REGISTRY_LINK,,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\04_СНИП_ИСТОРИЧЕСКИЕ\Организация_строительства,,,,,,,"Ссылка protect.gost.ru/search является страницей поиска, а не конкретным документом. Она часто возвращает 404 и не скачивается как файл. Запрос поиска: СНиП 12-01-2004. В реестре нужна ссылка на карточку документа (/gost/details/...) или прямой файл."
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,18,3,126,"СП 48.13330.2011 Организация строительства
Приказ Минрегиона России от 27.12.2010 № 781",05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Организация_строительства,https://protect.gost.ru/search?search=%D0%A1%D0%9F%2048.13330.2011,http://protect.gost.ru/search?search=%D0%A1%D0%9F%2048.13330.2011,,ERROR_BAD_REGISTRY_LINK,,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Организация_строительства,,,,,,,"Ссылка protect.gost.ru/search является страницей поиска, а не конкретным документом. Она часто возвращает 404 и не скачивается как файл. Запрос поиска: СП 48.13330.2011. В реестре нужна ссылка на карточку документа (/gost/details/...) или прямой файл."
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,18,4,127,"ГОСТ Р 21.1101-2013 Основные требования к проектной и рабочей документации
Приказ Росстандарта от 11.06.2013 № 156-ст",05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Проектная_документация,https://protect.gost.ru/search?search=%D0%93%D0%9E%D0%A1%D0%A2%20%D0%A0%2021.1101-2013,http://protect.gost.ru/search?search=%D0%93%D0%9E%D0%A1%D0%A2%20%D0%A0%2021.1101-2013,,ERROR_BAD_REGISTRY_LINK,,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Проектная_документация,,,,,,,"Ссылка protect.gost.ru/search является страницей поиска, а не конкретным документом. Она часто возвращает 404 и не скачивается как файл. Запрос поиска: ГОСТ Р 21.1101-2013. В реестре нужна ссылка на карточку документа (/gost/details/...) или прямой файл."
Реестр_документов_Этап_2_Общая_нормативная_основа_строительства_v1.3.docx,18,5,128,"ГОСТ Р 51872-2002 Документация исполнительная геодезическая. Правила выполнения
Национальный стандарт",05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Геодезия,https://protect.gost.ru/search?search=%D0%93%D0%9E%D0%A1%D0%A2%20%D0%A0%2051872-2002,http://protect.gost.ru/search?search=%D0%93%D0%9E%D0%A1%D0%A2%20%D0%A0%2051872-2002,,ERROR_BAD_REGISTRY_LINK,,1Рабочие материалы\05_БАЗА_ЗНАНИЙ\03_НОРМАТИВНО_ТЕХНИЧЕСКИЕ_ДОКУМЕНТЫ\11_ОТМЕНЕННЫЕ_И_ЗАМЕНЕННЫЕ_ДОКУМЕНТЫ\Геодезия,,,,,,,"Ссылка protect.gost.ru/search является страницей поиска, а не конкретным документом. Она часто возвращает 404 и не скачивается как файл. Запрос поиска: ГОСТ Р 51872-2002. В реестре нужна ссылка на карточку документа (/gost/details/...) или прямой файл."
